"Subject" "Test_Y.SD" "Body.AccXtest_Mean" "Body.AccXtest_Sd" "Body.AccYtest_Mean" "Body.AccYtest_Sd" "Body.AccZtest_Mean" "Body.AccZtest_Sd" "Body.GyroXtest_Mean" "Body.GyroXtest_Sd" "Body.GyroYtest_Mean" "Body.GyroYtest_Sd" "Body.GyroZtest_Mean" "Body.GyroZtest_Sd" "Total.AccXtest_Mean" "Total.AccXtest_Sd" "Total.AccYtest_Mean" "Total.AccYtest_Sd" "Total.AccZtest_Mean" "Total.AccZtest_Sd" "ActivityName2" "Train_X.Mean" "Train_Y.SD" "Body.AccXtrain_Mean" "Body.AccXtrain_Sd" "Body.AccYtrain_Mean" "Body.AccYtrain_Sd" "Body.AccZtrain_Mean" "Body.AccZtrain_Sd" "Body.GyroXtrain_Mean" "Body.GyroXtrain_Sd" "Body.GyroYtrain_Mean" "Body.GyroYtrain_Sd" "Body.GyroZtrain_Mean" "Body.GyroZtrain_Sd" "Total.AccXtrain_Mean" "Total.AccXtrain_Sd" "Total.AccYtrain_Mean" "Total.AccYtrain_Sd" "Total.AccZtrain_Mean" "Total.AccZtrain_Sd"
1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.463716542749936 0.497295074540271 -0.00244800092900692 0.148990928403234 -0.000608444513720002 0.109746467301525 0.000152585794185897 0.0924686176716117 0.00701159829690236 0.274648557888663 -0.00620030657596179 0.422295404544931 -3.0373967639544e-05 0.197084287081911 0.86004178169502 0.147423061857621 -0.065005003095498 0.107474687440429 0.0657183101253813 0.0884417923322344
2 0.502811089306893 -0.000919666025230712 0.129564615033995 -0.0010459644809652 0.099283695062629 -0.00242546496240335 0.0768741769862301 -0.0247814387533587 0.25366800254993 0.0078999585138691 0.214102447012543 0.000410346385856312 0.178978741806953 0.802104521390439 0.128044723839177 -0.13002462953511 0.0976490610947884 0.124585567017919 0.0747519661382206 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.513305700948802 0.503373423412521 -0.00085462628054912 0.123772539627233 -0.000376554668814246 0.0905623333968451 0.00059957008398591 0.0653168605746626 0.002914398356633 0.263583657495661 -7.73413213104847e-06 0.183421669971072 0.000157011084402676 0.142860167740801 0.835430787536886 0.122954448522196 -0.00834713102603556 0.0878630474438878 0.0423380767911321 0.061598296172077
4 0.509131852685244 -0.000699160629111048 0.129686378713829 0.00122211495470362 0.0854522232909408 0.000259716549520948 0.0552698796420829 -0.00130662631302556 0.261724040830428 -0.00197916382614003 0.15646508597455 0.0041535724273051 0.13468168359324 0.834722528661283 0.127131707196862 0.131726982353046 0.0816626357288356 0.156030733976731 0.0521881870020226 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.486744619244046 0.504180551402664 0.000330181960289205 0.161371126376923 0.000867968726465879 0.103765940608415 0.00087404866148184 0.066608438918682 -0.00183250663980965 0.254271692122044 -0.00139612903050583 0.227350001567512 0.000130084885436103 0.192681135346413 0.829783480971852 0.159466847420361 0.131095100800502 0.100574099981324 0.085918207458069 0.0633119832267482
6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.465296805542408 0.499756707252724 -0.00107144449328263 0.162217474004597 -0.000226353432821784 0.109629030092116 -0.00253929465814224 0.0619203826198134 -0.0161780440744341 0.303171911436281 0.00168248784168298 0.288121511926221 0.00485974409306462 0.195915383096416 0.821697530383154 0.159686483122201 0.0340143795670017 0.10757513060847 0.0386353328330207 0.0595061026409414
7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.489057862500484 0.502623938425635 -0.00151759223322829 0.138684040936176 -0.000866670586535598 0.0792213808290028 -0.00138238767044836 0.100772069910865 -0.0249553514775295 0.274126282137454 0.00439379696921545 0.268098200252136 0.00506074298648843 0.165202397871783 0.816008863165823 0.135814239931998 -0.024780219281935 0.0761402947050442 0.0267181432841726 0.0966833048188421
8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -0.467970825052308 0.504688950595559 -0.00140479087026871 0.136916395117443 -0.000551442943642988 0.11287820196297 0.00049485528365486 0.0930392510972335 0.0322455528139986 0.301065791987933 -0.00755715214959193 0.330462893885077 -0.00984587449238813 0.238775787325997 0.792224303783429 0.134259015006721 0.0477870602226151 0.108601325242273 0.0771794886895268 0.0882588384515924
9 0.500843675962414 -0.00149654226559494 0.145786993033649 -0.00199760810698299 0.0741845452935483 0.00233676681174743 0.0918452977578661 -0.0437879071293606 0.283446608214488 0.000609954299583658 0.25425033363219 0.0100734043221686 0.20189646837899 0.808644089987396 0.144166616277835 -0.03062775704051 0.0716121477483799 0.0993632202733306 0.0884132665388313 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
10 0.501294173234371 -0.000149880541551206 0.151586128241244 -0.000365918926809014 0.08759160961161 -0.000989004030247763 0.0723032804471373 0.00946005828391429 0.285664391581644 -0.00465082251854255 0.314852534176514 0.00207738892490632 0.196771400952534 0.790231380214982 0.149817150568987 -0.0562418303758445 0.0848130918492336 0.0477375902467745 0.0693435292515752 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
